Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.6,T,0.1,0.1,0.8,0,0.2,F,56075,0.0495319,0.0,0.950468,
0.6,T,0.1,0.1,0.8,1,0.2,F,49567,0.0726895,0.013396,0.913914,
0.6,T,0.1,0.1,0.8,2,0.2,F,47137,0.0982243,0.0237287,0.878047,
0.6,T,0.1,0.1,0.8,3,0.2,F,45042,0.13302,0.0334577,0.833522,
0.6,T,0.1,0.1,0.8,4,0.2,F,43258,0.176788,0.0447432,0.778469,
0.6,T,0.1,0.1,0.8,5,0.2,F,40341,0.229915,0.0579063,0.712179,
0.6,T,0.1,0.1,0.8,6,0.2,F,36767,0.291783,0.0732042,0.635012,
0.6,T,0.1,0.1,0.8,7,0.2,F,32808,0.367959,0.0879816,0.544059,
0.6,T,0.1,0.1,0.8,8,0.2,F,28920,0.449914,0.102541,0.447545,
0.6,T,0.1,0.1,0.8,9,0.2,F,22769,0.530568,0.115091,0.354341,
0.6,T,0.1,0.1,0.8,10,0.2,F,17718,0.602551,0.126651,0.270798,
0.6,T,0.1,0.1,0.8,11,0.2,F,12821,0.667655,0.128149,0.204196,
0.6,T,0.1,0.1,0.8,12,0.2,F,8876,0.713948,0.128943,0.157109,
0.6,T,0.1,0.1,0.8,13,0.2,F,5654,0.753803,0.124248,0.121949,
0.6,T,0.1,0.1,0.8,14,0.2,F,3641,0.776023,0.13142,0.092557,
0.6,T,0.1,0.1,0.8,15,0.2,F,2013,0.809737,0.125186,0.065077,
0.6,T,0.1,0.1,0.8,16,0.2,F,951,0.801262,0.12776,0.0709779,
0.6,T,0.1,0.1,0.8,17,0.2,F,481,0.786902,0.133056,0.0800416,
0.6,T,0.1,0.1,0.8,18,0.2,F,328,0.791159,0.137195,0.0716463,
0.6,T,0.1,0.1,0.8,19,0.2,F,136,0.841912,0.102941,0.0551471,
0.6,T,0.1,0.1,0.8,20,0.2,F,74,0.797297,0.162162,0.0405405,
0.6,T,0.1,0.1,0.8,21,0.2,F,36,0.847222,0.125,0.0277778,
0.6,T,0.1,0.1,0.8,22,0.2,F,16,0.90625,0.0625,0.03125,
0.6,T,0.1,0.1,0.8,23,0.2,F,0,NAN,NAN,NAN,1
