Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.6,0.2,T,0.1,29174,0.1,0.8,0,0.2,6.0,0.03,,0.0471987 0.0943973 0.0 58847,F,,58847,0.0,0.0,0.0943973,0.0471987,0.0,0.0,0.0,0.952801,0.905603
0.6,0.2,T,0.1,25681,0.1,0.8,1,0.2,6.0,0.03,,0.0701618 0.134849 0.0120801 52607,F,,52607,0.00547456,0.00644401,0.12293,0.0701618,0.0120801,0.000722337,0.0162716,0.917758,0.848157
0.6,0.2,T,0.1,23935,0.1,0.8,2,0.2,6.0,0.03,,0.0951143 0.181331 0.0218879 50576,F,,50576,0.0088975,0.0108945,0.161539,0.0951143,0.0218879,0.00114679,0.0305876,0.882998,0.786935
0.6,0.2,T,0.1,21948,0.1,0.8,3,0.2,6.0,0.03,,0.126546 0.235126 0.0335776 48038,F,,48038,0.0179649,0.0166951,0.200466,0.126546,0.0335776,0.00208169,0.0462967,0.839877,0.716495
0.6,0.2,T,0.1,20397,0.1,0.8,4,0.2,6.0,0.03,4,0.168938 0.309965 0.0443633 45860,F,,45860,0.027911,0.0245312,0.257523,0.168938,0.0443633,0.0027911,0.0586132,0.786699,0.628631
0.6,0.2,T,0.1,18294,0.1,0.8,5,0.2,6.0,0.03,5,0.222759 0.393884 0.0569034 43363,F,,43363,0.0516339,0.0356295,0.306621,0.222759,0.0569034,0.00394345,0.0702903,0.720338,0.531882
0.6,0.2,T,0.1,15683,0.1,0.8,6,0.2,6.0,0.03,6,0.282096 0.482126 0.070803 40309,F,,40309,0.082066,0.0484011,0.351658,0.282096,0.070803,0.00555707,0.0820908,0.647101,0.430227
0.6,0.2,T,0.1,13078,0.1,0.8,7,0.2,6.0,0.03,7,0.348314 0.574288 0.0831246 36325,F,,36325,0.12234,0.067254,0.384694,0.348314,0.0831246,0.00704749,0.0849002,0.568562,0.333765
0.6,0.2,T,0.1,10182,0.1,0.8,8,0.2,6.0,0.03,8,0.418684 0.656145 0.097723 32060,F,,32060,0.181223,0.0848409,0.390081,0.418684,0.097723,0.0095446,0.0915159,0.483593,0.242795
0.6,0.2,T,0.1,7510,0.1,0.8,9,0.2,6.0,0.03,9,0.491693 0.741675 0.106757 26846,F,,26846,0.241712,0.1078,0.392163,0.491693,0.106757,0.0105044,0.0847054,0.40155,0.163116
