Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POP_PERSISTS,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.6,0.2,T,0.1,29426,0.1,0.8,0,0.2,6.0,0.03,,,0.0471098 0.0942196 0.0 58958,F,58958,0.0,0.0,0.0942196,0.0471098,0.0,0.0,0.0,0.95289,0.90578
0.6,0.2,T,0.1,25828,0.1,0.8,1,0.2,6.0,0.03,,,0.0693302 0.133636 0.0127971 53137,F,53137,0.00502475,0.00724542,0.121366,0.0693302,0.0127971,0.00079041,0.016768,0.917873,0.848806
0.6,0.2,T,0.1,23970,0.1,0.8,2,0.2,6.0,0.03,,,0.0921362 0.176195 0.0223354 50637,F,50637,0.0080771,0.0102099,0.157908,0.0921362,0.0223354,0.00102692,0.0324071,0.885528,0.790371
0.6,0.2,T,0.1,22047,0.1,0.8,3,0.2,6.0,0.03,,,0.125992 0.236069 0.033316 48130,F,48130,0.0159152,0.0154166,0.204737,0.125992,0.033316,0.00230625,0.046603,0.840692,0.715022
0.6,0.2,T,0.1,20152,0.1,0.8,4,0.2,6.0,0.03,,4,0.168988 0.309685 0.0462178 45740,F,45740,0.0282903,0.025164,0.256231,0.168988,0.0462178,0.00260166,0.0620682,0.784794,0.625645
0.6,0.2,T,0.1,18224,0.1,0.8,5,0.2,6.0,0.03,,5,0.222841 0.394596 0.0565589 43300,F,43300,0.0510855,0.033418,0.310092,0.222841,0.0565589,0.00381062,0.0720785,0.7206,0.529515
0.6,0.2,T,0.1,15716,0.1,0.8,6,0.2,6.0,0.03,,6,0.284576 0.487226 0.0705402 39963,F,39963,0.0819258,0.0497961,0.355504,0.284576,0.0705402,0.00510472,0.081075,0.644884,0.426595
0.6,0.2,T,0.1,12949,0.1,0.8,7,0.2,6.0,0.03,,7,0.353326 0.576091 0.0849682 36496,F,36496,0.130562,0.0680075,0.377521,0.353326,0.0849682,0.00690487,0.0881192,0.561705,0.328885
0.6,0.2,T,0.1,9974,0.1,0.8,8,0.2,6.0,0.03,,8,0.423626 0.665647 0.0991137 31706,F,31706,0.181606,0.0902037,0.393837,0.423626,0.0991137,0.00911499,0.0897937,0.47726,0.235444
0.6,0.2,T,0.1,7149,0.1,0.8,9,0.2,6.0,0.03,,9,0.499718 0.750188 0.11152 26632,F,26632,0.249249,0.118016,0.382923,0.499718,0.11152,0.0114524,0.0821193,0.388762,0.156241
0.6,0.2,T,0.1,4905,0.1,0.8,10,0.2,6.0,0.03,,10,0.565347 0.812339 0.119412 21363,F,21363,0.318354,0.138838,0.355147,0.565347,0.119412,0.0117961,0.0763938,0.315241,0.099471
0.6,0.2,T,0.1,3010,0.1,0.8,11,0.2,6.0,0.03,,11,0.632652 0.866441 0.122681 16547,F,16547,0.398864,0.155436,0.312141,0.632652,0.122681,0.0134163,0.063093,0.244667,0.0570496
0.6,0.2,T,0.1,1733,0.1,0.8,12,0.2,6.0,0.03,,12,0.683124 0.899065 0.134173 11869,F,11869,0.467183,0.182408,0.249473,0.683124,0.134173,0.0179459,0.0500463,0.182703,0.032943
0.6,0.2,T,0.1,882,0.1,0.8,13,0.2,6.0,0.03,,13,0.721591 0.916334 0.129433 8008,F,8008,0.526848,0.18469,0.204795,0.721591,0.129433,0.0143606,0.0454545,0.148976,0.0238511
