Conversion,Dominant_r2,Embryo,FRACTION,Fitness,Gen,Germline,Recessive_r2,pop_size,rate_dr,rate_r2,rate_wt,success_Yes
0.8,F,0.1,0.1,0.8,0,0.0,T,55667,0.0498949,0.0,0.950105,
0.8,F,0.1,0.1,0.8,1,0.0,T,49895,0.0826636,0.00432909,0.913007,
0.8,F,0.1,0.1,0.8,2,0.0,T,48227,0.125386,0.00841852,0.866195,
0.8,F,0.1,0.1,0.8,3,0.0,T,46224,0.184644,0.0133913,0.801964,
0.8,F,0.1,0.1,0.8,4,0.0,T,44311,0.265013,0.0205818,0.714405,
0.8,F,0.1,0.1,0.8,5,0.0,T,41124,0.361529,0.02687,0.611601,
0.8,F,0.1,0.1,0.8,6,0.0,T,35763,0.466488,0.0347566,0.498756,
0.8,F,0.1,0.1,0.8,7,0.0,T,30311,0.583534,0.0399195,0.376546,
0.8,F,0.1,0.1,0.8,8,0.0,T,23695,0.677042,0.0445453,0.278413,
0.8,F,0.1,0.1,0.8,9,0.0,T,17235,0.75805,0.0452567,0.196693,
0.8,F,0.1,0.1,0.8,10,0.0,T,11463,0.814054,0.0445782,0.141368,
0.8,F,0.1,0.1,0.8,11,0.0,T,6908,0.86132,0.0408946,0.0977852,
0.8,F,0.1,0.1,0.8,12,0.0,T,3813,0.882376,0.0326515,0.0849725,
0.8,F,0.1,0.1,0.8,13,0.0,T,2164,0.894871,0.0378928,0.0672366,
0.8,F,0.1,0.1,0.8,14,0.0,T,1112,0.904227,0.0292266,0.0665468,
0.8,F,0.1,0.1,0.8,15,0.0,T,737,0.899593,0.046133,0.0542741,
0.8,F,0.1,0.1,0.8,16,0.0,T,252,0.894841,0.0396825,0.0654762,
0.8,F,0.1,0.1,0.8,17,0.0,T,172,0.924419,0.00581395,0.0697674,
0.8,F,0.1,0.1,0.8,18,0.0,T,92,0.923913,0.0163043,0.0597826,
0.8,F,0.1,0.1,0.8,19,0.0,T,43,0.94186,0.0116279,0.0465116,
0.8,F,0.1,0.1,0.8,20,0.0,T,30,0.95,0.0,0.05,
0.8,F,0.1,0.1,0.8,21,0.0,T,16,0.96875,0.0,0.03125,
0.8,F,0.1,0.1,0.8,22,0.0,T,0,NAN,NAN,NAN,1
