Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,LONG_TERM_CHASE,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29386,0.1,0.8,0,0.0,6.0,,0.03,,0.0469521 0.0939043 0.0 59156,T,59156,0.0,0.0,0.0939043,0.0469521,0.0,0.0,0.0,0.953048,0.906096
0.8,0.2,F,0.1,25915,0.1,0.8,1,0.0,6.0,,0.03,,0.0764737 0.147297 0.00378932 52384,T,52384,0.00565058,0.00595602,0.13569,0.0764737,0.00378932,3.81796e-05,0.00154627,0.919737,0.851119
0.8,0.2,F,0.1,24867,0.1,0.8,2,0.0,6.0,,0.03,,0.115072 0.216944 0.00847789 51133,T,51133,0.0132009,0.00964152,0.194102,0.115072,0.00847789,0.000136898,0.00704046,0.87645,0.775879
0.8,0.2,F,0.1,23840,0.1,0.8,3,0.0,6.0,,0.03,,0.170436 0.311315 0.0139555 49837,T,49837,0.0295564,0.0147481,0.26701,0.170436,0.0139555,0.00022072,0.0127215,0.815609,0.675743
0.8,0.2,F,0.1,21691,0.1,0.8,4,0.0,6.0,,0.03,4,0.244956 0.424244 0.0198271 47435,T,47435,0.0656688,0.020449,0.338126,0.244956,0.0198271,0.000316222,0.0185728,0.735217,0.556867
0.8,0.2,F,0.1,19171,0.1,0.8,5,0.0,6.0,,0.03,5,0.327935 0.548765 0.0272056 44274,T,44274,0.107106,0.0282333,0.413425,0.327935,0.0272056,0.000677599,0.0248227,0.644859,0.425735
0.8,0.2,F,0.1,15877,0.1,0.8,6,0.0,6.0,,0.03,6,0.434639 0.679328 0.0338849 41095,T,41095,0.18995,0.0398345,0.449544,0.434639,0.0338849,0.000924687,0.0260859,0.531476,0.293661
0.8,0.2,F,0.1,11253,0.1,0.8,7,0.0,6.0,,0.03,7,0.544598 0.788625 0.0375714 34654,T,34654,0.300571,0.0466324,0.441421,0.544598,0.0375714,0.000981128,0.0265482,0.417831,0.183846
0.8,0.2,F,0.1,7236,0.1,0.8,8,0.0,6.0,,0.03,8,0.644469 0.876367 0.0422162 27525,T,27525,0.41257,0.0584196,0.405377,0.644469,0.0422162,0.00141689,0.0231789,0.313315,0.0990372
0.8,0.2,F,0.1,4128,0.1,0.8,9,0.0,6.0,,0.03,9,0.736689 0.933495 0.042667 20660,T,20660,0.539884,0.0629235,0.330687,0.736689,0.042667,0.00193611,0.0185382,0.220644,0.046031
0.8,0.2,F,0.1,2183,0.1,0.8,10,0.0,6.0,,0.03,10,0.788166 0.956574 0.0443087 14162,T,14162,0.619757,0.0670809,0.269736,0.788166,0.0443087,0.00148284,0.0185708,0.167526,0.0233724
0.8,0.2,F,0.1,1173,0.1,0.8,11,0.0,6.0,,0.03,11,0.813097 0.963853 0.0523437 9323,T,9323,0.66234,0.0819479,0.219565,0.813097,0.0523437,0.00311059,0.0165183,0.13456,0.0165183
0.8,0.2,F,0.1,747,0.1,0.8,12,0.0,6.0,,0.03,12,0.813027 0.966256 0.0569435 6164,T,6164,0.659799,0.0871188,0.219338,0.813027,0.0569435,0.00584036,0.0150876,0.130029,0.0128164
0.8,0.2,F,0.1,472,0.1,0.8,13,0.0,6.0,,0.03,13,0.828926 0.96864 0.0587409 4273,T,4273,0.689211,0.0947812,0.184648,0.828926,0.0587409,0.00234028,0.0180201,0.112333,0.0109993
0.8,0.2,F,0.1,336,0.1,0.8,14,0.0,6.0,,0.03,14,0.825075 0.964749 0.0570336 3007,T,3007,0.685401,0.0891254,0.190223,0.825075,0.0570336,0.00631859,0.0123046,0.117892,0.0166279
0.8,0.2,F,0.1,272,0.1,0.8,15,0.0,6.0,,0.03,15,0.828358 0.978743 0.0554048 2211,T,2211,0.677974,0.0931705,0.207598,0.828358,0.0554048,0.00135685,0.0149254,0.116237,0.00497512
0.8,0.2,F,0.1,180,0.1,0.8,16,0.0,6.0,,0.03,16,0.848493 0.973214 0.0560826 1792,T,1792,0.723772,0.0853795,0.164062,0.848493,0.0560826,0.00502232,0.0167411,0.0954241,0.00502232
