Conversion,DROP_RADIUS,Dominant_r2,Embryo,FERTILE_FEMALES,FRACTION,Fitness,Gen,Germline,Growth,Migration,POTENTIAL_CHASE,Rates,Recessive_r2,SUPPRESSED,pop_size,rate_DD,rate_Dr2,rate_Dwt,rate_dr,rate_r2,rate_r2r2,rate_r2wt,rate_wt,rate_wtwt
0.8,0.2,F,0.1,29094,0.1,0.8,0,0.0,6.0,0.03,,0.0474867 0.0949735 0.0 58490,T,,58490,0.0,0.0,0.0949735,0.0474867,0.0,0.0,0.0,0.952513,0.905027
0.8,0.2,F,0.1,25928,0.1,0.8,1,0.0,6.0,0.03,,0.0786548 0.150834 0.0037632 52349,T,,52349,0.00647577,0.0059982,0.13836,0.0786548,0.0037632,9.55128e-05,0.00133718,0.917582,0.847733
0.8,0.2,F,0.1,25189,0.1,0.8,2,0.0,6.0,0.03,,0.117732 0.221201 0.00656821 51460,T,,51460,0.0142635,0.00823941,0.198698,0.117732,0.00656821,7.77303e-05,0.00474155,0.8757,0.77398
0.8,0.2,F,0.1,23851,0.1,0.8,3,0.0,6.0,0.03,,0.173707 0.316093 0.0119867 49805,T,,49805,0.0313222,0.0136733,0.271097,0.173707,0.0119867,0.000180705,0.00993876,0.814306,0.673788
0.8,0.2,F,0.1,21458,0.1,0.8,4,0.0,6.0,0.03,4,0.250246 0.439109 0.0177563 46772,T,,46772,0.0613829,0.0203541,0.357372,0.250246,0.0177563,0.000235183,0.0146883,0.731998,0.545968
0.8,0.2,F,0.1,18881,0.1,0.8,5,0.0,6.0,0.03,5,0.347513 0.576227 0.0252806 44184,T,,44184,0.118799,0.0282682,0.42916,0.347513,0.0252806,0.000294224,0.0217047,0.627207,0.401774
0.8,0.2,F,0.1,14920,0.1,0.8,6,0.0,6.0,0.03,6,0.456589 0.703596 0.0329268 40013,T,,40013,0.209582,0.0405868,0.453428,0.456589,0.0329268,0.000574813,0.0241172,0.510484,0.271712
0.8,0.2,F,0.1,10611,0.1,0.8,7,0.0,6.0,0.03,7,0.563036 0.811297 0.0376833 33211,T,,33211,0.314775,0.0478155,0.448707,0.563036,0.0376833,0.000873205,0.0258047,0.39928,0.162025
0.8,0.2,F,0.1,6737,0.1,0.8,8,0.0,6.0,0.03,8,0.665217 0.884742 0.0393028 26792,T,,26792,0.445693,0.0514706,0.387578,0.665217,0.0393028,0.00205285,0.0230293,0.29548,0.0901762
0.8,0.2,F,0.1,3950,0.1,0.8,9,0.0,6.0,0.03,9,0.733049 0.934315 0.0440672 19822,T,,19822,0.531783,0.0665927,0.33594,0.733049,0.0440672,0.00191706,0.0177076,0.222884,0.0460599
