radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,68,0.0,0.0,0.0,104206,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,74,0.0,0.0,0.0,103798,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,69,0.0,0.0,0.0,104057,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,73,0.0,0.0,0.0,103976,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,77,0.0,0.0,0.0,102813,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,71,0.0,0.0,0.0,103520,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,73,0.0,0.0,0.0,104135,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,65,0.0,0.0,0.0,103247,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,133,0.0,0.0,0.0,103568,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,76,0.0,0.0,0.0,102829,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,75,0.0,0.0,0.0,104133,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,104,0.0,0.0,0.0,104444,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,119,0.0,0.0,0.0,104232,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,69,0.0,0.0,0.0,103427,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,70,0.0,0.0,0.0,103041,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,77,0.0,0.0,0.0,103924,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,73,0.0,0.0,0.0,103919,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,74,0.0,0.0,0.0,103682,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,82,0.0,0.0,0.0,103077,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,103,0.0,0.0,0.0,103649,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,131,0.0,0.0,0.0,103433,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,137,0.0,0.0,0.0,103402,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,124,0.0,0.0,0.0,104517,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,96,0.0,0.0,0.0,104056,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,98,0.0,0.0,0.0,104007,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,129,0.0,0.0,0.0,103668,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,103,0.0,0.0,0.0,103245,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,154,0.0,0.0,0.0,103516,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,150,0.0,0.0,0.0,103577,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,133,0.0,0.0,0.0,103177,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,113,0.0,0.0,0.0,102923,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,78,0.0,0.0,0.0,103451,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,104,0.0,0.0,0.0,103948,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,174,0.0,0.0,0.0,103350,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,133,0.0,0.0,0.0,103003,0,0,0,0
