radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,69,0.0,0.0,0.0,102682,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,66,0.0,0.0,0.0,103670,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,74,0.0,0.0,0.0,102790,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,88,0.0,0.0,0.0,104040,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,79,0.0,0.0,0.0,103963,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,68,0.0,0.0,0.0,103390,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,66,0.0,0.0,0.0,103243,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,71,0.0,0.0,0.0,103987,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,64,0.0,0.0,0.0,103663,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,77,0.0,0.0,0.0,103815,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,83,0.0,0.0,0.0,103910,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,80,0.0,0.0,0.0,104448,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,77,0.0,0.0,0.0,103986,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,74,0.0,0.0,0.0,103466,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,78,0.0,0.0,0.0,104140,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,72,0.0,0.0,0.0,103612,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,80,0.0,0.0,0.0,103666,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,85,0.0,0.0,0.0,103211,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,79,0.0,0.0,0.0,102966,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,T,F,0,1,0,0,0,77,0.0,0.0,0.0,103979,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,138,0.0,0.0,0.0,104215,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,125,0.0,0.0,0.0,104062,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,104,0.0,0.0,0.0,103170,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,97,0.0,0.0,0.0,104221,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,T,F,0,1,0,0,0,148,0.0,0.0,0.0,103502,0,0,0,0
