radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,75,0.0,0.0,0.0118166,103668,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,69,0.0,0.0,0.0121684,104122,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,70,0.0,0.0,0.0131822,103738,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,74,0.0,0.0,0.0129472,104308,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,75,0.0,0.0,0.00941724,103799,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,67,0.0,0.0,0.0167386,103294,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,66,0.0,0.0,0.0110597,103891,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,102,0.0,0.0,0.00839614,103619,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,85,0.0,0.0,0.014385,103789,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,65,0.0,0.0,0.0133794,102583,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,97,0.0,0.0,0.00877709,103622,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,78,0.0,0.0,0.00929331,104161,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,82,0.0,0.0,0.0111258,103768,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,74,0.0,0.0,0.014203,103253,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,95,0.0,0.0,0.00967246,104110,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,82,0.0,0.0,0.0106257,104323,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,73,0.0,0.0,0.0108248,103974,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,70,0.0,0.0,0.0123772,103860,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,73,0.0,0.0,0.0107412,103573,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.0,0.8,F,T,0,1,0,0,0,68,0.0,0.0,0.010742,103147,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,93,0.0,0.0,0.012473,103704,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,117,0.0,0.0,0.0108147,103332,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,121,0.0,0.0,0.0130618,103814,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,102,0.0,0.0,0.0140307,102846,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,115,0.0,0.0,0.00951716,103865,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,80,0.0,0.0,0.0148605,104034,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,107,0.0,0.0,0.0123049,103089,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,104,0.0,0.0,0.0121764,104423,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,131,0.0,0.0,0.0124689,103457,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,119,0.0,0.0,0.0121475,103560,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,98,0.0,0.0,0.0110261,103799,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,88,0.0,0.0,0.0132317,103426,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,121,0.0,0.0,0.0102531,103530,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,100,0.0,0.0,0.0124389,103667,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,86,0.0,0.0,0.0137778,104044,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,108,0.0,0.0,0.0117115,103275,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,103,0.0,0.0,0.0134131,103332,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,106,0.0,0.0,0.0085051,103291,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,121,0.0,0.0,0.00728614,103141,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.05,0.8,F,T,0,1,0,0,0,99,0.0,0.0,0.0139719,103279,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,176,0.0,0.0,0.0124549,103734,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,170,0.0,0.0,0.0112459,103682,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,182,0.0,0.0,0.0119835,103142,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,225,0.0,0.0,0.0124404,103895,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,238,0.0,0.0,0.00607824,104142,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,302,0.0,0.0,0.00566579,103869,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,223,0.0,0.0,0.00846918,103670,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,191,0.0,0.0,0.0095218,104182,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,224,0.0,0.0,0.00885596,103659,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,240,0.0,0.0,0.0105512,103258,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,183,0.0,0.0,0.0120507,102857,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,170,0.0,0.0,0.0094377,103415,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,154,0.0,0.0,0.0166151,103129,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,184,0.0,0.0,0.0114229,104133,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,238,0.0,0.0,0.0100886,103334,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,194,0.0,0.0,0.0123515,103307,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,247,0.0,0.0,0.00718585,104163,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,219,0.0,0.0,0.00779722,103306,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,337,0.0,0.0,0.00661672,103450,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.1,0.8,F,T,0,1,0,0,0,237,0.0,0.0,0.00820534,103713,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0186027,0.0369708,0.0338907,102270,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0159847,0.0317342,0.0353702,102035,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0225025,0.04451,0.0346546,101011,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0154096,0.030547,0.0357337,102858,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0165779,0.032913,0.03676,102938,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0130197,0.0256911,0.031016,103382,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0175941,0.0347771,0.0340234,102165,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0161516,0.0320601,0.0313549,102807,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0151542,0.0300438,0.0335812,102051,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0193283,0.0382598,0.0357537,103346,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0160754,0.0318391,0.0308259,102641,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0170467,0.0338597,0.0353249,102718,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0209907,0.0415117,0.0350041,102188,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0189424,0.0376039,0.0335258,103234,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0203301,0.0401681,0.0353501,101598,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0222595,0.0439732,0.0374483,102608,0,0,0,0
0.2,0.1,0.05,6.0,0.0,0.05,0.15,0.8,F,T,0,0,0,0,1,1000,0.0238811,0.047124,0.0396038,101859,0,0,0,0
