radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_pop_size,ending_fertile_female,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,14,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0
