radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_pop_size,ending_fertile_female,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,40,0,1,0,0,0,13,6380,28,1289
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,162,0,0,0,0,0,13,7607,149,1823
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,40,0,0,0,0,0,13,2333,27,423
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,99,0,0,0,0,0,13,4887,86,1146
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,69,0,0,0,0,0,13,5063,56,986
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,70,0,0,0,0,0,12,5239,58,1042
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,63,0,0,0,0,0,13,4469,50,925
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,38,0,0,0,0,0,13,5480,25,1195
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,38,0,0,0,0,0,14,3173,24,520
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,45,0,0,0,0,0,13,6934,32,1451
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,46,0,0,0,0,0,12,3563,34,773
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,33,0,0,0,0,0,13,6014,20,1292
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,232,0,0,0,0,0,16,15650,216,5534
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,47,0,0,0,0,0,13,5269,34,1055
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,66,0,0,0,0,0,13,3988,53,931
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,52,0,0,0,0,0,13,6631,39,1714
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,24,0,0,0,0,0,12,2582,12,392
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,50,0,0,0,0,0,12,4433,38,877
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,T,F,0,0,1,0,0,22,0,0,0,0,0,13,323,9,40
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,262,0,0,0,0,0,13,7993,249,1983
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,186,0,0,0,0,0,13,13508,173,4520
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,67,0,0,0,0,0,12,4133,55,790
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,56,0,0,0,0,0,13,3948,43,802
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,28,0,0,0,0,0,16,570,12,84
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,40,0,0,0,0,0,13,2952,27,526
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,66,0,0,0,0,0,14,6553,52,1352
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,155,0,0,0,0,0,12,6422,143,1440
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,86,0,0,0,0,0,16,12313,70,4078
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,198,0,0,0,0,0,14,12403,184,3907
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,64,0,0,0,0,0,14,4961,50,928
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,56,0,0,0,0,0,14,4432,42,809
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,70,0,0,0,0,0,13,20561,57,6998
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,60,0,1,0,0,0,13,5333,48,1106
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,110,0,1,0,0,0,12,5854,99,1239
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,88,0,0,0,0,0,14,6225,74,1282
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,88,0,0,0,0,0,13,4565,75,854
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,38,0,0,0,0,0,13,5186,25,1024
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,29,0,0,0,0,0,12,4327,17,726
0.2,0.1,0.05,6.0,0.1,0.05,0.9,0.8,T,F,0,0,1,0,0,83,0,0,0,0,0,14,5098,69,1169
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,213,0,0,0,0,0,13,8112,200,2278
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,109,0,0,0,0,0,14,8563,95,2297
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,78,0,0,0,0,0,14,6426,64,1292
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,39,0,0,0,0,0,12,1769,27,333
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,82,0,0,0,0,0,12,19565,70,7021
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,60,0,0,0,0,0,13,3985,47,905
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,26,0,0,0,0,0,17,158,9,21
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,67,0,0,0,0,0,13,4888,54,1053
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,0,1,0,66,0.0,0.0,0.0,103859,51894,13,28223,53,12330
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,143,0,0,0,0,0,13,9089,130,2355
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,109,0,0,0,0,0,14,10602,95,2802
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,114,0,0,0,0,0,14,6420,100,1386
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,110,0,0,0,0,0,14,7976,96,2192
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,0,1,0,72,0.0,0.0,0.0,57838,28848,16,6431,56,2140
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,0,0,1,0,0,46,0,0,0,0,0,14,1616,32,259
0.2,0.1,0.05,6.0,0.1,0.1,0.9,0.8,T,F,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,75,0,0,0,0,0,12,12571,63,3929
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,48,0,0,0,0,0,15,23060,33,7584
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,0,1,0,72,0.0,0.0,0.0,103547,51900,13,12628,59,5105
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,60,0,0,0,0,0,13,4577,47,847
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,104,0,0,0,0,0,14,7490,90,1674
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,50,0,0,0,0,0,14,9464,36,2412
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,83,0,0,0,0,0,13,3054,70,621
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,33,0,0,0,0,0,13,4074,20,593
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,126,0,0,0,0,0,13,9168,113,2414
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,30,0,1,0,0,0,13,1448,18,222
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,40,0,1,0,0,0,13,4950,28,1081
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,37,0,0,0,0,0,13,2669,24,473
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,44,0,0,0,0,0,16,3262,28,571
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,100,0,0,0,0,0,14,8930,86,2235
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,37,0,0,0,0,0,16,12695,21,2996
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,0,0,1,0,0,44,0,0,0,0,0,15,7673,29,1930
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.15,0.9,0.8,T,F,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,74,0,0,0,0,0,14,5358,60,1047
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,30,0,1,0,0,0,17,1030,14,148
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,97,0,0,0,0,0,14,6973,83,1684
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,125,0,0,0,0,0,18,7614,107,1677
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,110,0,1,0,0,0,13,6491,98,1471
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,103,0,0,0,0,0,14,8602,89,2070
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,248,0,0,0,0,0,14,7552,234,1838
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,45,0,0,0,0,0,15,7715,30,1474
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,130,0,1,0,0,0,14,5875,117,1176
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,200,0,1,0,0,0,13,7928,188,1719
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,38,0,0,0,0,0,15,1853,23,288
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,52,0,0,0,0,0,13,9363,39,1907
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,23,0,0,0,0,0,14,1434,9,230
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,43,0,0,0,0,0,14,2738,29,457
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,135,0,0,0,0,0,15,6231,120,1415
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,69,0,0,0,0,0,13,5039,56,1129
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,166,0,0,0,0,0,15,7312,151,1596
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,36,0,0,0,0,0,13,2003,23,309
0.2,0.1,0.05,6.0,0.1,0.2,0.9,0.8,T,F,0,0,1,0,0,37,0,0,0,0,0,14,1512,23,236
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,80,0,1,0,0,0,14,6447,67,1577
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,228,0,0,0,0,0,13,8900,215,2102
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,239,0,0,0,0,0,18,7876,221,1966
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,68,0,0,0,0,0,17,6920,51,1652
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,38,0,0,0,0,0,14,5531,24,1025
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,330,0,0,0,0,0,14,8068,316,1803
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,39,0,0,0,0,0,14,4003,25,839
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,1,0,0,0,0,23,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,276,0,0,0,0,0,13,8362,263,1916
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,734,0,0,0,0,0,14,12131,720,3786
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,259,0,0,0,0,0,17,7428,242,1669
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,246,0,0,0,0,0,14,9202,232,2326
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,46,0,0,0,0,0,13,12197,33,3216
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,170,0,0,0,0,0,14,10707,156,2794
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,74,0,0,0,0,0,16,9453,58,2467
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,220,0,0,0,0,0,14,7985,206,1895
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,37,0,0,0,0,0,15,3931,22,682
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,390,0,1,0,0,0,13,10687,378,2682
0.2,0.1,0.05,6.0,0.1,0.25,0.9,0.8,T,F,0,0,1,0,0,255,0,0,0,0,0,14,10320,241,2615
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,69,0,0,0,0,0,13,4026,56,748
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,256,0,0,0,0,0,15,10726,241,2618
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,212,0,0,0,0,0,15,8477,197,2129
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,65,0,0,0,0,0,15,6331,50,1323
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,72,0,0,0,0,0,14,6837,58,1284
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,467,0,0,0,0,0,15,9936,452,2329
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,129,0,0,0,0,0,16,9103,113,2222
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,712,0,0,0,0,0,18,9916,694,2434
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,48,0,0,0,0,0,15,8377,33,2039
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,239,0,0,0,0,0,14,8952,225,2080
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,406,0,0,0,0,0,14,10502,392,2656
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,157,0,0,0,0,0,16,14506,141,4439
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,199,0,0,0,0,0,14,9243,185,2228
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,199,0,0,0,0,0,15,9535,184,2481
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,117,0,0,0,0,0,14,8874,103,1959
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,267,0,0,0,0,0,13,8864,254,1930
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,525,0,0,0,0,0,13,10063,512,2452
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,326,0,0,0,0,0,16,9710,310,2300
0.2,0.1,0.05,6.0,0.1,0.3,0.9,0.8,T,F,0,0,1,0,0,85,0,0,0,0,0,19,1756,66,336
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,T,F,0,0,1,0,0,96,0,0,0,0,0,15,11080,81,2517
0.2,0.1,0.05,6.0,0.1,0.35,0.9,0.8,T,F,0,0,1,0,0,33,0,0,0,0,0,13,6065,20,1119
