radius,fraction,migration,growth,germline,embryo,conversion,fitness,dominantR2,recessiveR2invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_pop_size,ending_fertile_female,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,877,0,0,0,0,0,12,8916,865,2118
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,238,0,0,0,0,0,11,6365,227,1290
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,0,0,1,1000,0.746172,0.934223,0.142981,8620,895,12,9860,988,2538
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,435,0,0,0,0,0,13,10096,422,2534
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,166,0,0,0,0,0,14,7804,152,1745
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,655,0,0,0,0,0,11,7082,644,1429
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,472,0,0,0,0,0,12,10836,460,3017
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,572,0,0,0,0,0,13,9461,559,2213
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,497,0,0,0,0,0,13,9964,484,2444
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0
0.2,0.1,0.05,6.0,0.1,0.0,0.9,0.8,F,T,0,0,1,0,0,340,0,1,0,0,0,12,7525,329,1753
