radius,fraction,migration,r1_occurrence,germline,embryo,conversion,fitness,dominantR2,recessiveR2,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,pop_resistence_without_chase,suppressed_afterChase,drive_lost_afterChase,pop_resistence_after_chase, long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_population_size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile,final_female_fertile
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.351519,0.58134,0.00105423,15177,0,0,0,0,6586
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.310251,0.522296,0.0,9755,0,0,0,0,4363
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.405432,0.646239,0.00225777,15502,0,0,0,0,6438
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.29725,0.509234,0.0,10180,0,0,0,0,4668
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.385973,0.626189,0.00379876,15663,0,0,0,0,6652
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.343477,0.57238,0.000242887,14410,0,0,0,0,6429
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.303035,0.513576,0.0,9060,0,0,0,0,4116
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.376761,0.609308,0.000816493,9798,0,0,0,0,4254
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.387722,0.626658,0.0021842,19229,0,0,0,0,8214
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.380351,0.61505,0.0,11960,0,0,0,0,5127
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.386072,0.625632,0.00260518,12859,0,0,0,0,5490
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.368963,0.600454,0.0017774,16316,0,0,0,0,7014
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.292197,0.489416,0.0,10676,0,0,0,0,4888
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.366877,0.600833,0.00517872,9848,0,0,0,0,4214
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.364604,0.593278,0.00330161,16810,0,0,0,0,7276
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.394895,0.633703,0.000400909,14966,0,0,0,0,6281
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.384082,0.62821,0.00175113,14562,0,0,0,0,6261
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.350336,0.582268,0.0,10557,0,0,0,0,4725
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.334145,0.556433,0.00134363,11908,0,0,0,0,5321
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.370268,0.604055,0.0022819,20816,0,0,0,0,9043
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.391766,0.631781,0.00603375,9364,0,0,0,0,3950
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.404733,0.649721,0.0,9127,0,0,0,0,3901
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.378753,0.612907,0.00595307,17386,0,0,0,0,7359
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.384868,0.616884,0.000673552,11135,0,0,0,0,4732
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.341746,0.565595,0.00154948,14521,0,0,0,0,6416
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.385039,0.617375,0.00458494,10360,0,0,0,0,4391
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.343323,0.572997,0.0023368,13480,0,0,0,0,5918
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.396409,0.634818,0.00322727,11000,0,0,0,0,4667
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.381138,0.624439,0.00252525,14256,0,0,0,0,6151
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.264842,0.457578,0.0,9264,0,0,0,0,4267
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.390932,0.630241,0.00675582,14358,0,0,0,0,6007
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.315216,0.530877,0.0,11481,0,0,0,0,5167
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.321957,0.535856,0.00135166,13317,0,0,0,0,5947
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.291912,0.49975,0.0,10003,0,0,0,0,4540
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.347716,0.571774,0.00154503,17799,0,0,0,0,7877
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.385993,0.634076,0.00311526,8346,0,0,0,0,3591
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.373475,0.611885,0.00195196,18443,0,0,0,0,7968
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.351895,0.587469,0.0,17572,0,0,0,0,7822
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.333023,0.54974,0.00298632,15571,0,0,0,0,6771
