radius,fraction,migration,r1_occurrence,germline,embryo,conversion,fitness,dominantR2,recessiveR2,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,pop_resistence_without_chase,suppressed_afterChase,drive_lost_afterChase,pop_resistence_after_chase, long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_population_size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile,final_female_fertile
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.244855,0.419456,0.0376477,12099,0,0,0,0,5119
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.259544,0.442345,0.0573761,17943,0,0,0,0,7289
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.277086,0.475083,0.0462736,8990,0,0,0,0,3684
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.30885,0.51719,0.0685968,12158,0,0,0,0,4650
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.283534,0.483379,0.0475359,15462,0,0,0,0,6342
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.285822,0.489525,0.0448464,23770,0,0,0,0,9942
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.350951,0.567119,0.0775647,12828,0,0,0,0,4511
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.339009,0.548892,0.0518645,17324,0,0,0,0,6718
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.356808,0.563168,0.0716348,12815,0,0,0,0,4529
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.261957,0.445007,0.038064,14029,0,0,0,0,5969
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.294565,0.492172,0.0547945,11242,0,0,0,0,4552
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.242797,0.413935,0.0347579,18672,0,0,0,0,8024
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.285,0.481677,0.0473785,19893,0,0,0,0,8033
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.312527,0.521377,0.0580376,9356,0,0,0,0,3703
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.29237,0.496403,0.0601309,12373,0,0,0,0,4908
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.2353,0.408182,0.0321374,20459,0,0,0,0,8868
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.348918,0.568655,0.07826,9839,0,0,0,0,3517
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.291648,0.499261,0.0694383,13530,0,0,0,0,5240
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.301691,0.505655,0.0491871,16976,0,0,0,0,6848
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.255743,0.439871,0.0398538,11492,0,0,0,0,4922
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.327703,0.542512,0.0813636,11338,0,0,0,0,4032
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.288655,0.472373,0.0393386,19383,0,0,0,0,7984
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.253317,0.434999,0.0366039,19069,0,0,0,0,8226
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.300576,0.499704,0.0595309,11809,0,0,0,0,4679
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.246657,0.433146,0.038333,9274,0,0,0,0,3986
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.312038,0.519574,0.0702895,15301,0,0,0,0,5737
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,17,0.254308,0.430494,0.0271875,16423,0,0,0,0,7221
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.24892,0.425101,0.0295701,14119,0,0,0,0,6093
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.315065,0.523997,0.0414671,10647,0,0,0,0,4286
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,15,0.319959,0.523216,0.0676289,12125,0,0,0,0,4605
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.232238,0.408426,0.0299,11204,0,0,0,0,4992
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,16,0.22619,0.389481,0.0428571,14070,0,0,0,0,6072
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,T,F,1,0,0,1,0,0,0,0,14,0.32301,0.532766,0.0686948,12803,0,0,0,0,4786
