radius,fraction,migration,r1_occurrence,germline,embryo,conversion,fitness,dominantR2,recessiveR2,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,pop_resistence_without_chase,suppressed_afterChase,drive_lost_afterChase,pop_resistence_after_chase, long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending_population_size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile,final_female_fertile
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.376949,0.605392,0.0923421,11609,0,0,0,0,4454
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.393198,0.628878,0.0797228,10894,0,0,0,0,4183
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.436154,0.681453,0.0561594,10212,0,0,0,0,3921
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.373506,0.601047,0.0488174,19491,0,0,0,0,7961
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.351828,0.579698,0.0632785,15013,0,0,0,0,6213
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.397868,0.637019,0.0709325,18574,0,0,0,0,7292
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.460935,0.712604,0.0415693,11980,0,0,0,0,4525
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.329792,0.546131,0.0466468,17461,0,0,0,0,7478
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.422873,0.660217,0.0551617,15092,0,0,0,0,5749
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.444962,0.69206,0.0681722,11801,0,0,0,0,4335
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.399117,0.641013,0.0521399,20608,0,0,0,0,8167
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.385953,0.622611,0.0898265,13604,0,0,0,0,5241
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.422086,0.672788,0.0546664,17808,0,0,0,0,6959
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.428042,0.668121,0.0744165,14439,0,0,0,0,5249
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.405368,0.647811,0.0411218,21108,0,0,0,0,8348
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.346252,0.569876,0.0338899,14075,0,0,0,0,6042
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.345333,0.569467,0.0350345,20751,0,0,0,0,8966
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.448419,0.700041,0.0553446,14482,0,0,0,0,5514
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.390629,0.626555,0.0934765,10853,0,0,0,0,4090
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.370553,0.608865,0.0321287,12341,0,0,0,0,5111
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.386551,0.617688,0.064871,16633,0,0,0,0,6524
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.412738,0.655295,0.0548053,12663,0,0,0,0,4955
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.415768,0.651625,0.0810561,13540,0,0,0,0,4990
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.389014,0.631153,0.041429,15074,0,0,0,0,6117
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.431913,0.686634,0.0603004,16310,0,0,0,0,6314
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.30685,0.513132,0.0751287,15154,0,0,0,0,6423
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.35256,0.583284,0.0528042,11893,0,0,0,0,4998
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.365782,0.596165,0.0370206,10170,0,0,0,0,4244
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.342333,0.569884,0.072118,18130,0,0,0,0,7586
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,14,0.403047,0.643089,0.0731053,16018,0,0,0,0,6219
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.370295,0.59552,0.0721344,21252,0,0,0,0,8463
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.408656,0.654201,0.0690896,11391,0,0,0,0,4604
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.37021,0.603037,0.0784771,18241,0,0,0,0,7383
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.371351,0.606944,0.0499912,17023,0,0,0,0,6973
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.387769,0.623159,0.0978416,14733,0,0,0,0,5605
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,16,0.330136,0.552255,0.0562832,18247,0,0,0,0,7666
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.353648,0.585358,0.0718033,20584,0,0,0,0,8470
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.394238,0.635035,0.0741686,12930,0,0,0,0,5010
0.2,0.1,0.05,0.001,0.1,0.03,0.9,0.8,F,T,1,0,0,1,0,0,0,0,15,0.380417,0.619361,0.0535158,20237,0,0,0,0,8248
