embryo_cut_rate,germline_cut_rate,DD_fitness,threshold,capacity,
0.0,1.0,0.0,1.0,20000,
0.0,1.0,0.02,1.0,20000,
0.0,1.0,0.04,1.0,20000,
0.0,1.0,0.06,0.99,20000,
0.0,1.0,0.08,0.99,20000,
0.0,1.0,0.1,0.99,100000,
0.0,1.0,0.12,0.98,100000,
0.0,1.0,0.14,0.98,100000,
0.0,1.0,0.16,0.97,100000,
0.0,1.0,0.18,0.96,100000,
0.0,1.0,0.2,0.95,100000,
0.0,1.0,0.22,0.94,100000,
0.0,1.0,0.24,0.93,100000,
0.0,1.0,0.26,0.91,100000,
0.0,1.0,0.28,0.89,100000,
0.0,1.0,0.3,0.87,100000,
0.0,1.0,0.32,0.85,100000,
0.0,1.0,0.34,0.82,100000,
0.0,1.0,0.36,0.8,100000,
0.0,1.0,0.38,0.77,100000,
0.0,1.0,0.4,0.74,100000,
0.0,1.0,0.42,0.71,100000,
0.0,1.0,0.44,0.69,100000,
0.0,1.0,0.46,0.65,100000,
0.0,1.0,0.48,0.63,100000,
0.0,1.0,0.5,0.59,100000,
0.0,1.0,0.52,0.56,100000,
0.0,1.0,0.54,0.52,100000,
0.0,1.0,0.56,0.49,100000,
0.0,1.0,0.58,0.46,100000,
0.0,1.0,0.6,0.42,100000,
0.0,1.0,0.62,0.39,100000,
0.0,1.0,0.64,0.37,100000,
0.0,1.0,0.66,0.33,100000,
0.0,1.0,0.68,0.31,100000,
0.0,1.0,0.7,0.28,100000,
0.0,1.0,0.72,0.25,100000,
0.0,1.0,0.74,0.22,100000,
0.0,1.0,0.76,0.2,100000,
0.0,1.0,0.78,0.18,100000,
0.0,1.0,0.8,0.16,100000,
0.0,1.0,0.82,0.14,100000,
0.0,1.0,0.84,0.12,100000,
0.0,1.0,0.86,0.1,100000,
0.0,1.0,0.88,0.08,100000,
0.0,1.0,0.9,0.07,100000,
0.0,1.0,0.92,0.05,100000,
0.0,1.0,0.94,0.04,100000,
0.0,1.0,0.96,0.03,100000,
0.0,1.0,0.98,0.02,100000,
0.0,1.0,1.0,0.02,100000,
