radius,fraction,migration,growth,germline,embryo,fitness,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,126,0,0,0,100835,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,145,0,0,0,101111,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,209,0,0,0,101843,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,131,0,0,0,100766,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,127,0,0,0,101512,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,117,0,0,0,100674,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,139,0,0,0,100899,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,111,0,0,0,101565,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,156,0,0,0,101584,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,117,0,0,0,101541,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,99,0,0,0,102261,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,155,0,0,0,101721,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,136,0,0,0,101258,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,134,0,0,0,101832,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,122,0,0,0,102075,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,146,0,0,0,100911,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,97,0,0,0,100791,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,207,0,0,0,100772,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,88,0,0,0,101308,0,0,0,0
0.2,0.2,0.01,2,1,0,1,0,0,1,0,0,0,176,0,0,0,101541,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,142,0,0,0,101698,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,152,0,0,0,101358,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,227,0,0,0,101174,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,167,0,0,0,101565,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,130,0,0,0,102134,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,174,0,0,0,101658,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,149,0,0,0,102308,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,175,0,0,0,102518,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,108,0,0,0,101486,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,170,0,0,0,102236,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,262,0,0,0,101342,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,268,0,0,0,101458,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,192,0,0,0,101998,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,216,0,0,0,101554,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,117,0,0,0,102175,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,197,0,0,0,102713,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,148,0,0,0,102026,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,211,0,0,0,101821,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,126,0,0,0,103098,0,0,0,0
0.2,0.2,0.01,2.5,1,0,1,0,0,1,0,0,0,159,0,0,0,102138,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,177,0,0,0,102565,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,168,0,0,0,102505,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,229,0,0,0,102940,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,169,0,0,0,102693,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,124,0,0,0,102867,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,299,0,0,0,101500,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,211,0,0,0,102387,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,234,0,0,0,102720,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,182,0,0,0,102425,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,206,0,0,0,103443,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,182,0,0,0,101997,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,233,0,0,0,103264,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,119,0,0,0,102895,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,204,0,0,0,102362,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,167,0,0,0,102551,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,160,0,0,0,102548,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,167,0,0,0,102823,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,248,0,0,0,101975,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,202,0,0,0,102074,0,0,0,0
0.2,0.2,0.01,3,1,0,1,0,0,1,0,0,0,148,0,0,0,103343,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,228,0,0,0,102426,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,230,0,0,0,102759,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,126,0,0,0,102697,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,217,0,0,0,102568,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,294,0,0,0,102523,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,217,0,0,0,102626,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,213,0,0,0,102384,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,220,0,0,0,103316,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,126,0,0,0,102825,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,216,0,0,0,101987,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,209,0,0,0,103099,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,219,0,0,0,102742,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,221,0,0,0,103291,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,367,0,0,0,102157,0,0,0,0
0.2,0.2,0.01,3.5,1,0,1,0,0,1,0,0,0,223,0,0,0,102170,0,0,0,0
