radius,fraction,migration,growth,germline,embryo,fitness,invasiveness,suppressed_withoutChase,drive_lost_withoutChase,suppressed_afterChase,drive_lost_afterChase,long_term_chase,generation,rate_dr,rate_has_drive,rate_r2,ending population size,gen_chase_started,avg_pop_during_chase,duration_of_chasing,avg_female_fertile
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,884,0,0,0,0,304,23486,580,20201
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,0,0,1,1000,0.230961,0.407351,0.332816,28678,647,23969,353,33630
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,620,0,1,0,0,324,21838,297,27594
0.2,0.01,0.08,6.0,1.0,0.0,1.0,0,0,0,0,0,1,1000,0.00240143,0.00480286,0.00447095,102439,0,0,0,0
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,905,0,0,0,0,639,28985,266,36422
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,629,0,0,0,0,489,38618,140,40068
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,314,0,0,0,0,0,0,0,0
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,0,0,1,1000,0.310559,0.52381,0.431677,483,862,38652,138,43388
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,0,0,1,1000,0.156327,0.28202,0.238752,23470,562,22482,438,29162
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,500,0,1,0,0,329,27408,172,33671
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,605,0,0,0,0,271,25934,334,24626
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,0,0,1,1000,0.262272,0.445508,0.35389,16094,441,22258,559,24290
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,1,0,0,0,0,668,0,0,0,0,0,0,0,0
0.2,0.01,0.08,6.0,1.0,0.0,1.0,0,0,1,0,0,0,623,0.0,0.0,0.0,103533,0,0,0,0
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,506,0,0,0,0,422,55458,84,43077
0.2,0.01,0.08,6.0,1.0,0.0,1.0,0,0,0,0,0,1,1000,0.0175295,0.0346853,0.0330299,96352,0,0,0,0
0.2,0.01,0.08,6.0,1.0,0.0,1.0,0,0,1,0,0,0,477,0.0,0.0,0.0,103527,0,0,0,0
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,725,0,0,0,0,320,20006,405,23736
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,654,0,0,0,0,506,33401,148,39755
0.2,0.01,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,850,0,0,0,0,440,25809,410,28223
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,542,0,0,0,0,32,28187,510,10302
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,0,1,0,206,0.0,0.0,0.0,103966,27,32804,179,14196
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,185,0,0,0,0,27,27433,158,12230
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,232,0,0,0,0,37,33539,195,15196
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,388,0,0,0,0,41,20184,347,8573
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,188,0,0,0,0,28,31903,160,14262
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,567,0,0,0,0,32,26197,535,9435
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,119,0,0,0,0,46,52993,73,26450
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,358,0,0,0,0,37,49546,321,20459
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,196,0,0,0,0,29,35442,167,15581
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,352,0,0,0,0,26,29005,326,10892
0.2,0.05,0.08,6.0,1.0,0.0,1.0,1,0,0,1,0,0,535,0,0,0,0,64,18597,471,8417
