original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,0,0.19,0.937546,0.21,0.895604,0.41,0.104712,0.43,0.0731556,0.207904,0.412986,0.205082,,
0,1,0.21,0.936641,0.23,0.874068,0.41,0.124287,0.43,0.0911345,0.221711,0.424652,0.202941,,
0,2,0.23,0.901734,0.25,0.855431,0.43,0.113733,0.45,0.0797439,0.230749,0.438081,0.207332,,
0,3,0.23,0.921814,0.25,0.893087,0.43,0.133881,0.45,0.0914011,0.245187,0.445952,0.200765,,
0,4,0.25,0.927481,0.27,0.885,0.45,0.126121,0.47,0.0990676,0.262938,0.469311,0.206373,,
0,5,0.27,0.914418,0.29,0.844276,0.45,0.146818,0.47,0.0992823,0.274111,0.469698,0.195587,,
0,6,0.27,0.934718,0.29,0.880306,0.47,0.131695,0.49,0.0920139,0.282761,0.485975,0.203214,,
0,7,0.29,0.941921,0.31,0.858054,0.49,0.108508,0.51,0.0936754,0.299997,0.501472,0.201475,,
0,8,0.31,0.909591,0.33,0.834677,0.51,0.108328,0.53,0.0553672,0.312561,0.513145,0.200584,,
0,9,0.31,0.936984,0.33,0.894695,0.51,0.118495,0.53,0.0828258,0.327491,0.52037,0.192879,,
0,10,0.33,0.928743,0.35,0.865025,0.53,0.108254,0.55,0.0774566,0.339022,0.53536,0.196338,,
0,11,0.35,0.904913,0.37,0.832916,0.55,0.109705,0.57,0.077765,0.351365,0.556077,0.204712,,
0,12,0.35,0.937849,0.37,0.86496,0.57,0.103448,0.59,0.0689056,0.360385,0.571996,0.211611,,
0,13,0.37,0.918189,0.39,0.839864,0.57,0.129305,0.59,0.0774232,0.374644,0.581297,0.206653,,
0,14,0.37,0.933485,0.39,0.886204,0.57,0.127113,0.59,0.0997033,0.384164,0.589784,0.20562,,
0,15,0.39,0.928571,0.41,0.865963,0.59,0.130516,0.61,0.0873108,0.399127,0.604126,0.204999,,
0,16,0.41,0.916861,0.43,0.839331,0.63,0.101176,0.65,0.0497485,0.41435,0.630457,0.216107,,
0,17,0.41,0.933432,0.43,0.88716,0.63,0.100797,0.65,0.0839437,0.42445,0.630946,0.206496,,
0,18,0.43,0.936923,0.45,0.879819,0.63,0.126487,0.65,0.0973134,0.442932,0.648158,0.205226,,
0,19,0.45,0.905537,0.47,0.856554,0.65,0.122589,0.67,0.0878585,0.452261,0.663008,0.210747,,
0,20,0.45,0.933858,0.47,0.875833,0.65,0.108822,0.67,0.0963275,0.46167,0.664121,0.202451,,
0,21,0.47,0.914263,0.49,0.882353,0.67,0.105034,0.69,0.0931373,0.47894,0.678463,0.199523,,
0,22,0.49,0.911392,0.51,0.845843,0.69,0.105263,0.71,0.0781623,0.493476,0.693884,0.200408,,
0,23,0.49,0.927147,0.51,0.880064,0.69,0.135034,0.71,0.0975904,0.501532,0.708713,0.207181,,
0,24,0.51,0.913549,0.53,0.875104,0.71,0.127098,0.73,0.0940767,0.517049,0.726412,0.209363,,
0,25,0.51,0.946025,0.53,0.878435,0.73,0.112285,0.75,0.0748379,0.523619,0.736561,0.212942,,
0,26,0.53,0.925926,0.55,0.883534,0.73,0.118105,0.75,0.0993495,0.542232,0.749306,0.207074,,
0,27,0.55,0.900974,0.57,0.859912,0.75,0.115432,0.77,0.0859419,0.550474,0.760466,0.209992,,
0,28,0.55,0.930606,0.57,0.864843,0.77,0.100413,0.79,0.0824513,0.559308,0.77046,0.211152,,
0,29,0.57,0.924205,0.59,0.873073,0.77,0.111522,0.79,0.0837727,0.579468,0.778304,0.198836,,
0,30,0.59,0.904077,0.61,0.815881,0.77,0.133028,0.79,0.0990566,0.590925,0.789445,0.19852,,
0,31,0.59,0.934831,0.61,0.890505,0.79,0.109834,0.81,0.0887909,0.605716,0.799347,0.193631,,
0,32,0.61,0.920499,0.63,0.870627,0.81,0.107338,0.83,0.0844828,0.618221,0.816421,0.1982,,
0,33,0.63,0.917518,0.65,0.871452,0.81,0.136669,0.83,0.0903756,0.637606,0.825842,0.188236,,
0,34,0.63,0.940413,0.65,0.887147,0.83,0.110784,0.85,0.0957877,0.645174,0.844382,0.199208,,
0,35,0.65,0.935004,0.67,0.881213,0.85,0.101716,0.87,0.077278,0.663015,0.851404,0.188389,,
0,36,0.65,0.946481,0.67,0.892211,0.87,0.102154,0.89,0.0716005,0.66713,0.87141,0.20428,,
0,37,0.67,0.937165,0.69,0.895706,0.87,0.112227,0.89,0.0779867,0.687929,0.877142,0.189213,,
0,38,0.69,0.911038,0.71,0.840323,0.89,0.112559,0.91,0.0704145,0.693122,0.89596,0.202838,,
original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,0,0.19,0.938053,0.21,0.889984,0.41,0.102334,0.43,0.073616,0.205833,0.411625,0.205792,,
0,1,0.21,0.934462,0.23,0.872449,0.41,0.109925,0.43,0.0847554,0.221114,0.417886,0.196772,,
0,2,0.23,0.917453,0.25,0.865025,0.43,0.107746,0.45,0.078271,0.236658,0.435256,0.198598,,
0,3,0.23,0.937121,0.25,0.883415,0.45,0.100354,0.47,0.0703259,0.243824,0.450236,0.206412,,
0,4,0.25,0.90755,0.27,0.860877,0.43,0.151345,0.45,0.0965978,0.253235,0.448757,0.195522,,
0,5,0.27,0.904725,0.29,0.854067,0.45,0.138146,0.47,0.0952381,0.271865,0.46778,0.195915,,
0,6,0.27,0.940996,0.29,0.894737,0.47,0.112693,0.49,0.0791284,0.287725,0.477563,0.189838,,
0,7,0.29,0.9096,0.31,0.858156,0.49,0.108462,0.51,0.069697,0.293732,0.494366,0.200634,,
0,8,0.31,0.91242,0.33,0.841421,0.49,0.128141,0.51,0.0921687,0.313499,0.505646,0.192147,,
0,9,0.31,0.93424,0.33,0.875382,0.51,0.114251,0.53,0.0835752,0.321635,0.519291,0.197656,,
0,10,0.33,0.903633,0.35,0.85066,0.53,0.10446,0.55,0.0725851,0.331372,0.532798,0.201426,,
0,11,0.33,0.936625,0.35,0.89122,0.55,0.102065,0.57,0.0654867,0.346133,0.551129,0.204996,,
0,12,0.35,0.914894,0.37,0.861956,0.55,0.101604,0.57,0.0808511,0.355627,0.551546,0.195919,,
0,13,0.37,0.911811,0.39,0.835696,0.57,0.103609,0.59,0.0821028,0.373103,0.573356,0.200253,,
