original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance,,
0,0,0.19,0.961088,0.21,0.879082,0.29,0.14864,0.31,0.0922216,0.204898,0.307243,0.102345,,
0,1,0.21,0.918725,0.23,0.750316,0.31,0.104908,0.33,0.0629371,0.212224,0.312339,0.100115,,
0,2,0.21,0.945055,0.23,0.832487,0.31,0.1354,0.33,0.0696733,0.218005,0.320772,0.102767,,
0,3,0.21,0.96287,0.23,0.877647,0.31,0.154649,0.33,0.0948301,0.224754,0.328271,0.103517,,
0,4,0.23,0.91439,0.25,0.761982,0.33,0.113423,0.35,0.0636111,0.231888,0.335389,0.103501,,
0,5,0.23,0.93361,0.25,0.797206,0.33,0.131902,0.35,0.0748031,0.234928,0.341174,0.106246,,
0,6,0.23,0.954735,0.25,0.863179,0.33,0.148268,0.35,0.0941142,0.241957,0.347826,0.105869,,
0,7,0.25,0.914771,0.27,0.765714,0.35,0.107015,0.37,0.0608602,0.251982,0.35304,0.101058,,
0,8,0.25,0.931741,0.27,0.82228,0.35,0.120247,0.37,0.0710874,0.2558,0.358237,0.102437,,
0,9,0.25,0.959292,0.27,0.867184,0.35,0.149557,0.37,0.0843715,0.262874,0.365205,0.102331,,
0,10,0.25,0.969708,0.27,0.897387,0.37,0.104836,0.39,0.0558474,0.269277,0.371974,0.102697,,
0,11,0.27,0.937384,0.29,0.802724,0.37,0.121692,0.39,0.0683929,0.275552,0.37814,0.102588,,
0,12,0.27,0.952468,0.29,0.83422,0.37,0.158157,0.39,0.0789853,0.278874,0.384691,0.105817,,
0,13,0.27,0.971695,0.29,0.889472,0.37,0.176607,0.39,0.0978422,0.287439,0.389452,0.102013,,
0,14,0.29,0.922149,0.31,0.789756,0.39,0.123415,0.41,0.0600284,0.293346,0.397388,0.104042,,
0,15,0.29,0.957621,0.31,0.846803,0.39,0.126407,0.41,0.0697743,0.300399,0.399326,0.098927,,
0,16,0.29,0.969612,0.31,0.885634,0.39,0.154525,0.41,0.0933908,0.306579,0.407838,0.101259,,
0,17,0.31,0.92973,0.33,0.790448,0.41,0.109413,0.43,0.0557135,0.314269,0.413506,0.099237,,
0,18,0.31,0.953757,0.33,0.838966,0.41,0.117246,0.43,0.0717311,0.319366,0.417578,0.098212,,
0,19,0.31,0.970438,0.33,0.890997,0.41,0.150672,0.43,0.0927865,0.327733,0.427508,0.099775,,
0,20,0.33,0.924226,0.35,0.7781,0.43,0.111945,0.45,0.0616874,0.333316,0.434754,0.101438,,
0,21,0.33,0.945561,0.35,0.838812,0.43,0.132692,0.45,0.0782253,0.338536,0.442004,0.103468,,
0,22,0.33,0.963688,0.35,0.886709,0.43,0.168117,0.45,0.0874644,0.346547,0.446891,0.100344,,
0,23,0.35,0.919955,0.37,0.77187,0.45,0.104777,0.47,0.0620612,0.352695,0.452237,0.099542,,
0,24,0.35,0.944301,0.37,0.821101,0.45,0.129488,0.47,0.0659782,0.357192,0.459286,0.102094,,
0,25,0.35,0.964534,0.37,0.871151,0.45,0.158466,0.47,0.0930233,0.363821,0.467868,0.104047,,
0,26,0.37,0.914461,0.39,0.758929,0.47,0.101353,0.49,0.0565145,0.37186,0.470603,0.098743,,
0,27,0.37,0.932216,0.39,0.814983,0.47,0.123385,0.49,0.0720412,0.375496,0.479109,0.103613,,
0,28,0.37,0.959478,0.39,0.863265,0.47,0.146037,0.49,0.0887097,0.382364,0.486061,0.103697,,
0,29,0.39,0.909332,0.41,0.748873,0.49,0.102602,0.51,0.0514332,0.391163,0.491017,0.099854,,
0,30,0.39,0.936029,0.41,0.793959,0.49,0.108267,0.51,0.0664773,0.395072,0.493956,0.098884,,
0,31,0.39,0.96188,0.41,0.86953,0.49,0.131796,0.51,0.0852479,0.403401,0.503662,0.100261,,
0,32,0.41,0.901704,0.43,0.72845,0.51,0.103782,0.53,0.0521516,0.410197,0.511465,0.101268,,
0,33,0.41,0.935883,0.43,0.806929,0.51,0.115983,0.53,0.0628257,0.415565,0.516013,0.100448,,
0,34,0.41,0.94484,0.43,0.847416,0.51,0.145127,0.53,0.0841712,0.419205,0.524806,0.105601,,
0,35,0.41,0.971448,0.43,0.883903,0.51,0.174503,0.53,0.0941003,0.426323,0.528532,0.102209,,
0,36,0.43,0.92118,0.45,0.774812,0.53,0.118983,0.55,0.0635375,0.432894,0.536847,0.103953,,
0,37,0.43,0.939919,0.45,0.823729,0.53,0.140123,0.55,0.0772961,0.436871,0.542773,0.105902,,
0,38,0.43,0.961326,0.45,0.877704,0.53,0.163097,0.55,0.0972851,0.444667,0.549175,0.104508,,
0,39,0.45,0.911537,0.47,0.752513,0.55,0.110255,0.57,0.0594806,0.451451,0.554039,0.102588,,
0,40,0.45,0.943615,0.47,0.829308,0.55,0.137856,0.57,0.0806405,0.457631,0.563233,0.105602,,
0,41,0.45,0.964698,0.47,0.872299,0.55,0.154569,0.57,0.0882872,0.464004,0.566466,0.102462,,
0,42,0.47,0.912906,0.49,0.759356,0.57,0.109581,0.59,0.0599065,0.471681,0.573858,0.102177,,
0,43,0.47,0.949506,0.49,0.819209,0.57,0.126926,0.59,0.0680581,0.477599,0.579148,0.101549,,
0,44,0.47,0.963766,0.49,0.882742,0.57,0.151475,0.59,0.0801615,0.48574,0.584436,0.098696,,
0,45,0.49,0.905395,0.51,0.76697,0.59,0.101567,0.61,0.0595568,0.490779,0.590746,0.099967,,
0,46,0.49,0.945427,0.51,0.829598,0.59,0.114286,0.61,0.0553811,0.497844,0.594851,0.097007,,
0,47,0.49,0.958716,0.51,0.869371,0.59,0.137343,0.61,0.0807963,0.503144,0.603208,0.100064,,
0,48,0.51,0.915166,0.53,0.771215,0.59,0.183474,0.61,0.0898781,0.512107,0.607837,0.09573,,
0,49,0.51,0.934272,0.53,0.80777,0.61,0.121277,0.63,0.0627473,0.515418,0.61727,0.101852,,
0,50,0.51,0.947182,0.53,0.845794,0.61,0.141294,0.63,0.0824129,0.519307,0.624026,0.104719,,
0,51,0.51,0.968343,0.53,0.894486,0.61,0.162144,0.63,0.0984562,0.528507,0.629515,0.101008,,
0,52,0.53,0.913028,0.55,0.808707,0.63,0.115039,0.65,0.0662651,0.532498,0.636167,0.103669,,
0,53,0.53,0.957217,0.55,0.856358,0.63,0.13561,0.65,0.0773271,0.541346,0.64222,0.100874,,
0,54,0.53,0.968979,0.55,0.893505,0.63,0.161546,0.65,0.0807229,0.548279,0.64523,0.096951,,
0,55,0.55,0.938799,0.57,0.770008,0.65,0.100584,0.67,0.0574908,0.554597,0.650271,0.095674,,
0,56,0.55,0.956137,0.57,0.84123,0.65,0.124303,0.67,0.0647879,0.559771,0.658167,0.098396,,
